#NAMES	IB1	IB2	IB3	IB4	IB5	IB6	IB7	IB8	IB9	IB10
lytB	0.294000	0.136000	0.002000	0.082000	-0.282000		-0.093000	-0.038000	-0.021000	-0.051000
yahH	-0.068000	-0.008000	-0.309000	-0.274000	-0.275000	-0.181000	-0.070000	-0.153000	-0.002000	0.054000
yahH	-0.168000	0.002000	-0.011000	0.015000	-0.172000	-0.103000	-0.052000	-0.090000	0.112000	0.072000
fixA	-0.081000	-0.067000	-0.065000	-0.128000					-0.017000	
fixA	0.274000	0.123000	0.086000	0.013000					-0.167000	
prpD	0.064000	-0.063000	-0.100000	0.026000						
prpD	0.559000	0.150000	0.183000	0.134000						
gcd	-0.506000	-0.188000	-0.180000	-0.321000		-0.447000	-0.315000		-0.542000	-1.269000
gcd	-0.409000	-0.535000	-0.117000	-0.357000		-0.572000	-0.600000		-0.615000	-0.561000
dinJ	-0.028000	0.129000	0.035000	0.111000		0.078000	0.209000	0.164000	0.124000	0.172000
dinJ	-0.011000	0.029000	0.231000	0.363000		0.138000	0.259000	0.166000	0.232000	0.162000
yadK	0.404000	-0.043000	-0.221000	0.124000				0.255000	-0.337000	
yadK	0.346000	0.134000	0.095000	0.218000				0.145000	-0.206000	
gpt	-0.510000	-0.483000	-0.460000	-0.506000	-0.722000	-0.924000	-0.709000	-0.510000	-0.223000	-0.492000
gpt	-0.590000	-0.448000	-0.548000	-0.360000	-0.941000	-1.025000	-0.792000	-0.772000	-0.432000	-0.436000
yaaF	-0.236000	-0.317000	0.015000	0.271000	0.261000			-0.055000		
yaaF	-0.076000	-0.021000	0.310000	0.410000	0.145000			0.036000		
yahI	-0.307000	-0.357000	0.375000	-0.484000						
yahI	0.471000	0.089000	-0.242000	-0.647000						
fixB	-0.169000	-0.166000		0.172000						
fixB	0.440000	0.155000		-0.002000						
prpE	-0.760000		-0.280000	-0.083000						
prpE	-0.212000		0.013000	-0.200000						
hpt	-0.398000			-0.361000		-0.538000	0.010000	-0.128000	0.033000	-0.111000
hpt	0.111000			-0.089000		-0.292000	-0.032000	-0.068000	0.112000	0.059000
yafL	-0.553000	-0.372000	-0.147000	-0.242000	-0.200000		-0.321000	-0.163000		
yafL	-0.289000	-0.103000	-0.133000	-0.138000	-0.295000		-0.002000	-0.281000		
yadL		0.026000	0.213000	-0.023000						
yadL		0.292000	0.147000	0.064000						
yafA		0.360000	0.216000	0.147000	0.430000	-0.738000	0.058000	0.217000	0.062000	0.112000
yafA		0.421000	0.135000	0.148000	1.178000	0.397000	0.181000	0.223000	0.099000	0.232000
dapB	-0.038000	-0.134000			-0.468000	-0.483000	-0.024000	-0.176000	-0.162000	-0.181000
dapB	-0.082000	-0.018000			-0.287000	-0.352000		-0.079000	-0.125000	-0.101000
yahJ	-0.065000	-0.028000	0.035000	0.007000			0.139000	-0.065000	0.081000	
yahJ	0.044000	0.116000	0.231000	0.320000			0.016000	0.068000	0.028000	
fixC	0.066000		0.298000	0.190000						
fixC	0.478000		0.391000	0.310000						
codB	-0.838000	-0.760000	-0.420000	-0.381000		-0.791000	-0.869000	-0.718000	-0.713000	-1.336000
codB	-1.029000	-0.759000	-0.271000	-0.448000		-0.389000	-0.947000	-0.601000	-0.514000	-0.818000
yadF	-0.321000	-0.186000	-0.679000	-0.693000	-0.373000	-0.467000	-0.582000	-0.496000	-0.401000	-0.412000
yadF	-0.276000	-0.302000	-0.540000	-0.454000	-0.347000	-0.394000	-0.489000	-0.528000	-0.361000	-0.437000
yafM	0.158000	0.207000	-0.130000			-0.189000	0.086000		0.104000	0.130000
yafM	0.204000	0.138000	0.054000			0.173000	0.101000		-0.031000	0.245000
yadM	0.440000	-0.274000	-0.064000							-0.012000
yadM	0.179000	0.092000	0.108000							-0.151000
crl	-0.427000	-0.259000	-0.351000	-0.520000	-0.181000	-0.131000	-0.367000	-0.473000	-0.187000	-0.233000
crl	-0.398000	-0.296000	-0.358000	-0.294000	-0.243000	-0.197000	-0.306000	-0.296000	-0.209000	-0.150000
carA	-1.261000	-1.263000		-1.281000		-1.226000		-1.274000		-1.411000
carA	-1.275000	-0.992000		-1.224000		-1.166000		-1.209000		-1.124000
yahK	0.036000	0.094000	-0.101000	-0.312000		0.152000	0.008000	-0.051000	-0.147000	-0.113000
yahK	0.193000	0.293000	0.048000	0.011000		0.225000	-0.003000	0.017000	-0.011000	-0.006000
fixX	-0.573000	-0.376000	-0.091000	-0.043000						
fixX	0.444000	0.089000	-0.008000	0.177000						
codA	-0.603000	-0.601000		-0.572000		-0.839000	-0.982000		-1.474000	-1.904000
codA	-0.696000	-0.555000		-0.834000		-0.847000	-0.698000		-0.518000	-0.808000
yadG			-0.072000	-0.007000		0.222000	0.210000	0.080000	0.068000	
yadG			0.015000	0.169000		0.119000	0.074000	0.161000	0.139000	
fhiA	-0.467000	-0.096000	-0.034000					0.135000	-0.219000	-0.134000
fhiA	0.049000	0.165000	0.076000					-0.002000	0.134000	0.019000
htrE		-0.096000	0.087000	0.066000						
htrE		0.111000	0.209000	0.259000						
phoE	0.096000	0.161000	0.200000	-0.297000						
phoE	0.545000	0.363000	0.084000	-0.213000						
carB	-0.870000	-0.941000			-1.443000		-0.955000	-1.134000	-0.708000	
carB	-1.055000	-0.830000			-1.204000		-1.078000	-1.060000	-0.712000	
yahL	-0.057000	-0.571000	-0.045000						0.167000	
yahL	0.135000	0.166000	0.200000						-0.043000	
yaaU	0.282000							-0.094000		
yaaU	0.093000							0.677000		
cynR	-0.261000	0.172000	-0.040000	-0.307000			0.167000	-0.078000	-0.004000	
cynR	0.002000	0.077000	0.014000	-0.130000			-0.022000	0.004000	-0.005000	
yadH	0.148000	0.237000	-0.036000	-0.004000	-0.259000	0.105000	0.041000	0.047000	0.062000	-0.021000
yadH	0.257000	0.190000	0.189000	0.295000	0.073000	0.246000	0.114000	0.079000	0.068000	0.078000
mbhA	0.158000	0.245000	-0.113000		0.054000	0.101000	0.028000	0.003000	0.023000	-0.028000
